id,geography,totpop,fem18_49,per_fem,medinc,moe_medinc
36061024900,"Census Tract 249, New York County, New York city, New York",1101,263,23.9,37679.0,10059.0
36061025100,"Census Tract 251, New York County, New York city, New York",2526,631,25.0,28688.0,4166.0
36061025300,"Census Tract 253, New York County, New York city, New York",11236,2848,25.3,36780.0,8286.0
36061025500,"Census Tract 255, New York County, New York city, New York",5771,1893,32.800000000000004,50228.0,17007.0
36061025700,"Census Tract 257, New York County, New York city, New York",3876,1116,28.799999999999997,76686.0,8162.0
36061025900,"Census Tract 259, New York County, New York city, New York",3496,1087,31.1,54913.0,6916.0
36061026100,"Census Tract 261, New York County, New York city, New York",12087,2855,23.599999999999998,29702.0,5024.0
36061026300,"Census Tract 263, New York County, New York city, New York",8729,2201,25.2,29308.0,2974.0
36061026500,"Census Tract 265, New York County, New York city, New York",7021,1864,26.5,61695.0,9957.0
36061026700,"Census Tract 267, New York County, New York city, New York",2173,356,16.400000000000002,39033.0,4379.0
36061026900,"Census Tract 269, New York County, New York city, New York",8428,1865,22.1,32585.0,4637.0
36061027100,"Census Tract 271, New York County, New York city, New York",8196,1985,24.2,49750.0,6131.0
36061027300,"Census Tract 273, New York County, New York city, New York",6370,1769,27.800000000000004,74621.0,5523.0
36061027500,"Census Tract 275, New York County, New York city, New York",2846,627,22.0,91552.0,17393.0
36061027700,"Census Tract 277, New York County, New York city, New York",7086,1608,22.7,28449.0,6210.0
36061027900,"Census Tract 279, New York County, New York city, New York",10292,2766,26.900000000000002,48242.0,6962.0
36061028100,"Census Tract 281, New York County, New York city, New York",2867,648,22.6,107727.0,18480.0
36061028300,"Census Tract 283, New York County, New York city, New York",7627,1857,24.3,49612.0,6262.0
36061028500,"Census Tract 285, New York County, New York city, New York",7216,1805,25.0,36500.0,8828.0
36061028700,"Census Tract 287, New York County, New York city, New York",4035,1115,27.6,46891.0,5422.0
36061029100,"Census Tract 291, New York County, New York city, New York",11288,2821,25.0,28743.0,5050.0
36061029300,"Census Tract 293, New York County, New York city, New York",9033,2249,24.9,32509.0,5096.0
36061029500,"Census Tract 295, New York County, New York city, New York",6941,1989,28.7,65160.0,3590.0
36061029700,"Census Tract 297, New York County, New York city, New York",161,38,23.599999999999998,,
36061029900,"Census Tract 299, New York County, New York city, New York",3834,896,23.400000000000002,23661.0,5569.0
36061030300,"Census Tract 303, New York County, New York city, New York",3753,1082,28.799999999999997,54718.0,7621.0
36061030700,"Census Tract 307, New York County, New York city, New York",3434,850,24.8,71250.0,13463.0
36061030900,"Census Tract 309, New York County, New York city, New York",8463,2206,26.1,27513.0,5524.0
36061031100,"Census Tract 311, New York County, New York city, New York",2,1,50.0,,
36061031703,"Census Tract 317.03, New York County, New York city, New York",7709,2428,31.5,182401.0,38378.0
36061031704,"Census Tract 317.04, New York County, New York city, New York",5677,1677,29.5,152692.0,29447.0
36061031900,"Census Tract 319, New York County, New York city, New York",11,0,0.0,,
36081000100,"Census Tract 1, Queens County, New York city, New York",4949,1706,34.5,127807.0,12982.0
36081000200,"Census Tract 2, Queens County, New York city, New York",2829,680,24.0,64242.0,6332.0
36081000400,"Census Tract 4, Queens County, New York city, New York",4413,1127,25.5,54773.0,11571.0
36081000600,"Census Tract 6, Queens County, New York city, New York",3729,955,25.6,56694.0,17083.0
36081000700,"Census Tract 7, Queens County, New York city, New York",4790,1473,30.8,93670.0,19723.0
36081000800,"Census Tract 8, Queens County, New York city, New York",3360,794,23.599999999999998,66056.0,8877.0
