"abi"	"coname"	"addr"	"city"	"state"	"zip"	"stcode"	"cntycd"	"prmsic"	"ssic1"	"sicd"	"pnacode"	"pnatitl"	"latitude_2010"	"longitude_2010"
"417515067"	"B & E MOCHA JAVA"	"28 E 33RD ST"	"NEW YORK"	"NY"	"10016"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7467	-73.9831
"589569185"	"BETSY JONNY COFFEE & RSTRNT"	"6722 FRESH POND RD"	"RIDGEWOOD"	"NY"	"11385"	"36"	"081"	"546105"	"581228"	"DOUGHNUTS"	"72251510"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7052	-73.8966
"425469584"	"BIRCH COFFEE"	"56 7TH AVE # 2"	"NEW YORK"	"NY"	"10011"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7383	-74
"427053505"	"BIRCH COFFEE"	"750 COLUMBUS AVE # 2"	"NEW YORK"	"NY"	"10025"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7934	-73.9677
"705856113"	"BIRCH COFFEE"	"134 E 62ND ST"	"NEW YORK"	"NY"	"10065"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7641	-73.9673
"604413518"	"BISTRO NEW YORK"	"21902 NORTHERN BLVD # 2D"	"BAYSIDE"	"NY"	"11361"	"36"	"081"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.761	-73.7625
"643420599"	"BITTERSWEET"	"180 DEKALB AVE"	"BROOKLYN"	"NY"	"11205"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6895	-73.9725
"401499394"	"BJESHKA CAFE"	"400 E 198TH ST"	"BRONX"	"NY"	"10458"	"36"	"005"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8664	-73.8865
"414414688"	"B K COFFY"	"381 RIDER AVE"	"BRONX"	"NY"	"10451"	"36"	"005"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8148	-73.9258
"421193982"	"BLUE BOTTLE COFFEE"	"1 ROCKEFELLER PLZ # CONC1"	"NEW YORK"	"NY"	"10020"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.758	-73.978
"421204935"	"BLUE BOTTLE LLC"	"450 W 15TH ST # 1"	"NEW YORK"	"NY"	"10011"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7425	-74.0068
"375371010"	"BLUE SPOON COFFEE CO LLC"	"76 CHAMBERS ST"	"NEW YORK"	"NY"	"10007"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7143	-74.0069
"209249168"	"BOLA COFFEE CO"	"14 WALL ST"	"NEW YORK"	"NY"	"10005"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7076	-74.0107
"687088401"	"BOULEVARD CAFE"	"253 BUSHWICK AVE"	"BROOKLYN"	"NY"	"11206"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7072	-73.9395
"421970173"	"BOWERY COFFEE"	"89 E HOUSTON ST"	"NEW YORK"	"NY"	"10012"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7239	-73.9924
"403327013"	"BRAD'S BREW"	"10 WAVERLY PL"	"NEW YORK"	"NY"	"10003"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7299	-73.9943
"415165148"	"BRAD'S BREW"	"2950 BROADWAY"	"NEW YORK"	"NY"	"10027"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8077	-73.9639
"434298406"	"BREW B X INC"	"3217 PHILIP AVE"	"BRONX"	"NY"	"10465"	"36"	"005"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.831	-73.8178
"704994480"	"BROADWAY COFFEE SHOP"	"691 BROADWAY"	"BROOKLYN"	"NY"	"11206"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7019	-73.9434
"606125052"	"BROADWILL ASSOCIATES"	"1710 EASTERN PKWY"	"BROOKLYN"	"NY"	"11233"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6726	-73.9116
"425458970"	"BROOKLYN ROASTING CO"	"200 FLUSHING AVE"	"BROOKLYN"	"NY"	"11205"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6975	-73.968
"633499553"	"BROTHER'S COFFEE SHOP"	"16923 JAMAICA AVE"	"JAMAICA"	"NY"	"11432"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7073	-73.7899
"409270331"	"BROWN CUP INC"	"1707 2ND AVE # 1"	"NEW YORK"	"NY"	"10128"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7796	-73.9509
"403802767"	"BUONGIORNO ESPRESSO"	"502 9TH AVE"	"NEW YORK"	"NY"	"10018"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7559	-73.9941
"707103757"	"BUSWICK COFFEE SHOP-JUICE BAR"	"1050 WYCKOFF AVE"	"RIDGEWOOD"	"NY"	"11385"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6949	-73.9033
"402822198"	"CAFE 2000 CORONA CORP"	"4008A JUNCTION BLVD"	"CORONA"	"NY"	"11368"	"36"	"081"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7487	-73.8693
"672778537"	"CAFE 39 GOURMET DELI"	"62 W 39TH ST"	"NEW YORK"	"NY"	"10018"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7524	-73.9852
"421970780"	"CAFE AL MERCATO"	"2344 ARTHUR AVE"	"BRONX"	"NY"	"10458"	"36"	"005"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8541	-73.8881
"434708257"	"CAFE BOCA CIEGA"	"355 BROADWAY"	"NEW YORK"	"NY"	"10013"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7174	-74.0042
"426606197"	"CAFE EIGHTY EIGHT INC"	"162 E 37TH ST"	"NEW YORK"	"NY"	"10016"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7477	-73.9773
"682697107"	"CAFE ITALIA SOCCER CLUB"	"3009 MIDDLETOWN RD"	"BRONX"	"NY"	"10461"	"36"	"005"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8442	-73.8301
"436528730"	"CAFE JAX"	"318 E 84TH ST"	"NEW YORK"	"NY"	"10028"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.776	-73.9519
"405031898"	"CAFE LA SEMEUSE"	"105 FREEMAN ST # 1"	"BROOKLYN"	"NY"	"11222"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7344	-73.9576
"421993183"	"CAFE LEX 52"	"144 E 52ND ST"	"NEW YORK"	"NY"	"10022"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7575	-73.9712
"401675419"	"CAFE MINERVA"	"302 W 4TH ST"	"NEW YORK"	"NY"	"10014"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7369	-74.0039
